Date,Time,North Price,West Price,South Price,Houston Price,North Load,West Load,South Load,Houston Load,North Predicted Load,West Predicted Load,South Predicted Load,Houston Predicted Load,Oil Price
01/05/2023,09:00,30.47,41.1775,31.09,30.7325,17382.484354,7808.296877,10877.657405,10612.537367,13161.9058954422,7384.488312192397,10916.931288151129,12112.07412868416,73.61
01/05/2023,10:00,30.33,30.34,30.405,30.245,16393.211541,7758.950031,10428.488506,10577.21122,13305.245318023472,7394.050125100716,10996.796110911047,12276.52553750925,73.61
01/05/2023,11:00,27.97,27.98,28.025,27.915,15554.882168,7776.016520000001,10078.384861999999,10529.081984,13276.100766492786,7355.863865410673,10994.985226695819,12308.775384131757,73.61
01/05/2023,12:00,27.6875,27.6925,27.735,27.635,14772.418416,7619.630334,9803.274969,10463.837425,13032.313524199633,7305.549350832821,11063.855985698434,12326.692306672792,73.61
01/05/2023,13:00,25.4,25.4025,25.4675,25.3575,14118.565144,7480.429472999999,9771.800506,10467.057732,12908.481754640805,7268.240919159521,10997.527525135949,12302.175049258916,73.61
01/05/2023,14:00,22.6125,22.625,22.7525,22.57,13637.475293,7355.145445,9861.501169,10521.384844,12715.702507146452,7223.34733259554,11003.095038949492,12287.973607130825,73.61
01/05/2023,15:00,22.06,22.06,22.06,22.06,13313.317052,7213.640598000001,10033.070649000001,10596.806294,12603.93869764096,7179.873198777066,11022.361920507576,12236.822482270096,73.61
01/05/2023,16:00,34.455,34.455,34.455,34.455,13167.501292,7186.210975,10222.268301,10679.504405,12463.464672862185,7184.834820851071,11047.195258733696,12251.140069149873,73.61
01/05/2023,17:00,66.6025,66.6025,66.6025,66.6025,13295.661272000001,7191.071431,10402.203970999999,10682.324075,12998.182618849047,7239.806434740695,11097.58668760929,12463.98899855262,73.61
01/05/2023,18:00,36.6725,63.315,37.7775,37.215,13926.287596,7135.427488,10546.256973,10658.304718,13663.199832142609,7381.495035442636,11737.60974180578,12775.077237611364,73.61
01/05/2023,19:00,29.28,47.195,30.2125,29.7375,14850.824161,7337.952472000001,10863.189488,10817.701607,13466.683200287249,7390.886836970943,11717.540046294587,12661.695964032006,73.61
01/05/2023,20:00,27.0225,27.0225,27.0225,27.0225,14993.644175000001,7233.679903,10763.397766,10611.851806,13368.366112679405,7336.224070018041,11405.423944712249,12575.695914245533,73.61
01/05/2023,21:00,18.79,18.585,19.035,18.92,15211.476948,7419.466923,10573.080283,10539.639876,13070.638334497418,7252.250222747439,11104.719592487796,12388.469856059086,73.61
01/05/2023,22:00,17.0875,15.7275,18.005,17.5825,15160.060764,7443.329586999999,10267.31912,10301.438371,12649.03728273104,7187.0663702102065,10730.504825945789,12009.733415998071,73.61
01/05/2023,23:00,14.2275,3.5225,18.33,16.5175,14655.991775,7454.1083690000005,9782.337628,9889.167585,12101.356279652122,7111.547986565328,10261.787555851915,11572.023531070026,73.61
01/06/2023,00:00,10.13,-0.2025,13.1175,11.835,14095.699709999999,7456.552125,9231.42547,9423.806481,11739.490911643246,7030.529170363381,9751.386979986877,11120.241909046274,73.77
01/06/2023,01:00,12.43,0.115,12.985,12.8525,13719.423893,7287.127847000001,8874.470646,9117.10892,11586.084642234762,6954.8350879131385,9432.822570451652,10757.769132878018,73.77
01/06/2023,02:00,9.1575,-0.1875,9.1325,9.24,13574.077942,7307.487599,8646.954783000001,8924.56518,11176.729227853491,6859.484375883774,9264.244727141699,10632.206156714237,73.77
01/06/2023,03:00,14.575,1.88,14.3725,14.5825,13503.978412,7323.744811,8600.636597,8798.012724,10823.780233004803,6790.1715050301855,9155.401942020717,10547.813506761235,73.77
01/06/2023,04:00,15.205,3.5225,15.2425,15.3275,13704.534810000001,7380.182546,8624.060726,8824.906117,10747.463547991065,6892.725036412675,9212.280850431996,10490.258780495287,73.77
01/06/2023,05:00,20.5675,16.6,19.005,19.5175,14243.999066999999,7431.937499999999,8807.599731999999,9040.324162,11391.54767594199,6939.159473200887,9257.170975977528,10509.695053044661,73.77
01/06/2023,06:00,33.215,30.0375,30.48,31.3175,15219.265822,7536.384916999999,9242.928867999999,9532.124655,11594.679082980185,6980.323499731862,9448.100240266544,10673.77350948835,73.77
01/06/2023,07:00,27.55,25.6625,22.8175,25.45,16803.051964,7771.785762,9910.530279999999,10302.972979,11761.656621543472,7056.856361908081,9748.126554828965,10727.231899594644,73.77
01/06/2023,08:00,18.43,8.245,15.6975,17.495,17523.222644,7891.159015,10244.288854999999,10662.105224,11993.320062388773,7131.306113203245,10136.153820271327,11078.439464690457,73.77
01/06/2023,09:00,18.5375,3.75,15.55,16.7675,17193.008508,7819.838981,10160.880177,10709.517877,12171.98253781031,7202.431959179812,10514.973766235802,11597.386577082092,73.77
01/06/2023,10:00,16.3525,9.2175,3.6725,11.3025,16477.356441,7666.980326999999,10088.16287,10678.844084,12305.21917513248,7201.74671885791,10657.42919136475,11916.0668696196,73.77
01/06/2023,11:00,10.81,4.38,-6.95,5.5525,15943.855165,7557.723627,10106.654404,10781.422349,12412.044452009388,7183.904457837656,10759.238778947525,12270.82251050491,73.77
01/06/2023,12:00,3.69,0.7725,1.5675,1.735,15470.781546,7464.182726000001,10141.794266,10898.996129,12645.343664658134,7200.002837323944,10881.250895416004,12365.886532666822,73.77
01/06/2023,13:00,0.435,0.0375,2.4175,0.0625,14785.757416,7381.8686640000005,10190.663602,11003.451362,12709.390763059066,7202.387896226257,10879.04424899534,12400.02372701156,73.77
01/06/2023,14:00,0.26,0.0225,3.7775,-0.0075,14158.274364,7405.3798879999995,10333.361504,11255.287741,12616.872574084377,7161.981824758365,10894.687321405901,12434.133020666124,73.77
01/06/2023,15:00,0.585,0.5925,5.145,0.3575,13772.906918,7351.982055,10556.906192,11425.9456,12683.61239084753,7134.0118217641475,10969.624566845303,12466.504099511058,73.77
01/06/2023,16:00,47.3175,151.63,30.7325,46.38,13533.16426,7384.974099,10758.910820000001,11478.478299,12528.194217336546,7146.090954268001,11009.558974509908,12493.590400264296,73.77
01/06/2023,17:00,43.2125,135.4325,27.93,42.5675,13505.951547,7315.44356,10798.613352,11308.338769,13074.824579114891,7207.662095543812,11157.463070069925,12658.031611144612,73.77
01/06/2023,18:00,32.215,48.4975,22.6125,30.8425,13771.427903,6935.776526,10762.333668,11064.338951,13814.225000264238,7416.744780914962,11980.157570716205,13206.083384010813,73.77
01/06/2023,19:00,25.4825,28.0875,21.31,24.76,14179.263087,7224.548390999999,10782.011488,11123.014234,13770.692216950156,7440.764163192724,12050.959315791752,13108.076433820135,73.77
01/06/2023,20:00,17.8575,35.5525,18.6825,18.3125,13989.790427,7452.818042,10534.266711,10941.662347,13606.71086076129,7382.044959000288,11815.54019056296,12759.831954090772,73.77
01/06/2023,21:00,12.6775,77.08,15.2375,14.1625,13700.773115,7404.782372,10267.961006,10721.743592,13277.178151564718,7285.9241333166565,11388.504983638551,12549.114338102167,73.77
01/06/2023,22:00,14.74,18.7525,6.4575,13.615,13199.121474,7377.250568,9935.233801999999,10372.199933,12539.24736427384,7168.102267906155,10875.506478632857,12168.483877108176,73.77
01/06/2023,23:00,14.2925,77.17,6.9075,14.0975,12636.155304,7244.861195,9478.297008,10001.997949,12035.957483006541,7067.197436815783,10279.086479865131,11579.330064512349,73.77
01/07/2023,00:00,18.055,209.9825,11.2425,19.965,11906.604611,7078.811694,8961.623541,9544.844914,11718.244400947071,7001.869167708165,9734.410161658343,10934.090050517023,73.77
01/07/2023,01:00,14.805,210.5025,9.8325,16.98,11368.786793,7028.633024,8272.061118,9194.919943,11353.624108835647,6897.303515570557,9449.22133517574,10659.575271434365,73.77
01/07/2023,02:00,12.815,141.665,7.7875,14.035,10866.743191000001,6943.104139,7983.1477780000005,8875.494806,11103.143825555442,6831.8412777096455,9307.37382344506,10608.911999316828,73.77
01/07/2023,03:00,15.305,49.7625,7.605,14.68,10587.414952,6889.103679,7761.426984,8597.83241,10706.459226043338,6843.361173815843,9262.076344687035,10562.868949807362,73.77
